ID,Attrition,AgeCat,Age,Educ_Field,Education,EducationField,BusinessTravel,JobLevel,JobRole,Department,StockOptionLevel,OverTime,PerformanceRating,MonthlyIncome,PercentSalaryHike,MonthlyRate,DailyRate,HourlyRate,DistanceFromHome,EESatisfaction,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance,TrainingTimesLastYear,Gender,MaritalStatus,OtherCoExp,NumCompaniesWorked,PriorExpYrs,TotalWorkingYears,ServiceCat,YearsAtCompany,PromoLast3,YearsSinceLastPromotion,YearsInCurrentRole,YearsWithCurrManager,Over18,StandardHours,EmployeeCount,EmployeeNumber,Rand
215,No,25-30,27,4_Medical,4,Medical,Rarely,1,Research Scientist,Research & Development,0,0,3,2045,13,15174,1115,54,3,2.8,1,2,4,4,3,0,Male,Single,1,0,1,5,3-5,4,1,1,2,1,Y,80,1,700,-0.894852631
216,No,40-45,40,3_Medical,3,Medical,Rarely,1,Research Scientist,Research & Development,1,0,3,2345,14,8045,896,68,2,3.2,3,3,3,3,4,3,Male,Divorced,1,2,5,8,3-5,3,1,1,1,2,Y,80,1,1474,-0.893369744
217,No,35-40,38,3_Medical,3,Medical,Rarely,2,Healthcare Representative,Research & Development,1,0,3,9824,19,22174,1495,76,10,3,3,3,3,3,3,4,Female,Married,1,3,17,18,1-3,1,0,0,0,0,Y,80,1,634,-0.893249489
218,No,45-50,48,3_Medical,3,Medical,Frequently,4,Manager,Research & Development,1,0,3,17174,11,2437,117,58,22,3.2,4,3,4,2,3,3,Female,Divorced,1,3,2,24,10+,22,0,4,17,7,Y,80,1,1900,-0.89089373
219,No,30-35,30,3_Life Sciences,3,Life Sciences,Rarely,1,Research Scientist,Research & Development,0,0,3,2632,14,23910,438,75,18,2.4,1,3,3,3,2,4,Female,Single,0,1,0,5,5-8,5,0,0,4,4,Y,80,1,194,-0.890074101
220,No,25-30,26,2_Life Sciences,2,Life Sciences,Rarely,1,Research Scientist,Research & Development,0,1,4,2875,20,9973,583,53,4,2.8,3,3,4,2,2,2,Male,Single,0,1,0,8,8-10,8,1,2,5,2,Y,80,1,1275,-0.886015716
221,No,30-35,34,3_Other,3,Other,Rarely,2,Sales Executive,Sales,0,0,4,6274,22,18686,304,60,2,3.4,4,3,4,3,3,5,Male,Single,0,1,0,6,5-8,6,1,1,5,4,Y,80,1,786,-0.883585076
222,Yes,45-50,45,4_Life Sciences,4,Life Sciences,Frequently,2,Sales Executive,Sales,2,0,3,4286,14,5630,306,100,26,2.4,1,3,1,4,3,4,Female,Married,1,2,4,5,1-3,1,0,0,1,0,Y,80,1,684,-0.883478436
223,No,30-35,33,3_Life Sciences,3,Life Sciences,0ne,2,Sales Executive,Sales,1,1,4,5368,25,16130,530,36,16,3.2,3,3,4,3,3,2,Female,Divorced,1,1,1,7,5-8,6,1,1,5,2,Y,80,1,1681,-0.882326875
224,No,25-30,28,3_Life Sciences,3,Life Sciences,Rarely,1,Research Scientist,Research & Development,1,0,3,1563,14,12530,1423,72,1,2.2,1,2,3,4,1,2,Male,Divorced,0,1,0,1,1-3,1,0,0,0,0,Y,80,1,1506,-0.878017992
225,No,35-40,38,2_Life Sciences,2,Life Sciences,Rarely,1,Research Scientist,Research & Development,2,0,3,4771,19,14293,1206,71,9,3.4,2,3,4,4,4,0,Male,Divorced,1,2,5,10,5-8,5,0,0,2,3,Y,80,1,1940,-0.868251048
226,No,30-35,30,2_Medical,2,Medical,Rarely,1,Laboratory Technician,Research & Development,0,0,3,3748,13,4077,911,76,1,2.8,4,3,2,3,2,6,Male,Married,0,1,0,12,10+,12,1,1,8,7,Y,80,1,1989,-0.867105893
227,No,35-40,35,2_Other,2,Other,Rarely,1,Laboratory Technician,Research & Development,1,0,3,1951,12,10910,464,75,4,3.2,3,3,4,3,3,3,Male,Divorced,0,1,0,1,1-3,1,0,0,0,0,Y,80,1,53,-0.858460123
228,No,<25,22,3_Life Sciences,3,Life Sciences,Rarely,1,Research Scientist,Research & Development,1,1,3,2328,16,12392,1136,60,5,2.6,4,4,2,1,2,2,Male,Divorced,0,1,0,4,3-5,4,1,2,2,2,Y,80,1,284,-0.850290639
229,No,<25,24,2_Other,2,Other,Rarely,2,Sales Executive,Sales,1,0,4,4999,21,17519,1353,33,3,2,1,3,3,1,2,2,Female,Married,1,0,1,4,3-5,3,0,0,2,2,Y,80,1,128,-0.849628375
230,No,45-50,49,1_Life Sciences,1,Life Sciences,Rarely,4,Healthcare Representative,Research & Development,1,1,3,13966,19,11652,465,41,6,2.6,3,2,3,2,3,3,Female,Married,1,2,15,30,10+,15,1,2,11,12,Y,80,1,1661,-0.847624264
231,No,45-50,45,2_Other,2,Other,Rarely,2,Manufacturing Director,Research & Development,2,0,3,5770,19,5388,1329,59,2,2.8,4,2,4,1,3,3,Female,Divorced,0,1,0,10,10+,10,1,3,7,9,Y,80,1,1635,-0.8468771
232,No,35-40,35,3_Marketing,3,Marketing,Rarely,1,Sales Representative,Sales,0,0,3,2014,13,9687,890,97,2,3,4,3,4,1,3,3,Female,Married,0,1,0,2,1-3,2,1,2,2,2,Y,80,1,49,-0.844673522
233,Yes,45-50,47,3_Life Sciences,3,Life Sciences,Frequently,4,Sales Executive,Sales,0,0,3,12936,11,24164,1093,82,9,2.2,3,1,3,3,1,3,Male,Married,1,7,2,25,10+,23,0,14,5,10,Y,80,1,1716,-0.841702649
234,No,50+,54,3_Marketing,3,Marketing,Rarely,2,Sales Executive,Sales,1,0,3,5940,14,17011,1147,52,3,3,4,3,1,4,3,4,Female,Married,1,2,10,16,5-8,6,0,0,2,5,Y,80,1,303,-0.839969137
235,No,40-45,43,2_Life Sciences,2,Life Sciences,Frequently,4,Manager,Sales,2,1,3,16959,12,19494,394,92,26,3.6,3,3,4,4,4,3,Male,Married,0,1,0,25,10+,25,0,4,12,12,Y,80,1,158,-0.838187814
236,Yes,35-40,37,4_Life Sciences,4,Life Sciences,Rarely,3,Sales Executive,Sales,0,0,3,10609,11,14922,625,46,1,2,1,2,3,3,1,2,Male,Married,1,5,3,17,10+,14,0,11,1,7,Y,80,1,970,-0.836393989
237,No,40-45,42,3_Life Sciences,3,Life Sciences,Rarely,5,Manager,Research & Development,0,0,3,18880,11,17312,300,56,2,2,1,3,3,1,2,2,Male,Married,1,5,2,24,10+,22,0,4,6,14,Y,80,1,2031,-0.834754517
238,No,30-35,32,4_Life Sciences,4,Life Sciences,Rarely,2,Research Scientist,Research & Development,1,1,3,6322,12,18089,646,92,9,2.8,1,3,4,4,2,2,Female,Married,0,1,0,6,5-8,6,0,0,4,5,Y,80,1,679,-0.826763523
239,No,25-30,25,3_Human Resources,3,Human Resources,Rarely,1,Human Resources,Human Resources,0,0,3,2187,14,19655,309,82,2,2.8,3,3,2,3,3,3,Female,Married,1,4,4,6,1-3,2,1,1,0,2,Y,80,1,1987,-0.825446636
240,No,50+,50,5_Life Sciences,5,Life Sciences,Rarely,3,Research Director,Research & Development,3,0,3,13269,15,21981,813,50,17,2.6,4,2,1,3,3,3,Female,Divorced,1,5,5,19,10+,14,1,1,11,11,Y,80,1,1656,-0.821381547
241,No,40-45,42,3_Medical,3,Medical,Rarely,3,Manufacturing Director,Research & Development,1,1,4,7406,21,6950,319,56,24,2.8,4,3,1,4,2,5,Male,Married,0,1,0,10,10+,10,0,5,9,8,Y,80,1,605,-0.820834844
242,No,45-50,45,3_Medical,3,Medical,Frequently,5,Manager,Research & Development,0,0,4,18061,22,13035,364,83,25,2.6,2,3,2,3,3,4,Female,Single,1,3,22,22,0-1,0,0,0,0,0,Y,80,1,1306,-0.819570786
243,No,25-30,29,3_Life Sciences,3,Life Sciences,Rarely,1,Research Scientist,Research & Development,1,0,4,2703,23,4956,1328,76,2,3,3,3,2,4,3,3,Male,Married,1,0,1,6,5-8,5,0,0,4,4,Y,80,1,94,-0.814448203
244,Yes,25-30,25,2_Life Sciences,2,Life Sciences,Rarely,1,Sales Representative,Sales,0,0,3,4400,12,15182,383,68,9,1.6,1,2,1,1,3,2,Male,Married,1,3,3,6,3-5,3,1,2,2,2,Y,80,1,1439,-0.813009504
245,No,25-30,29,1_Medical,1,Medical,Rarely,2,Manufacturing Director,Research & Development,1,1,3,5056,15,17689,718,79,8,2.6,2,2,4,3,2,2,Male,Married,0,1,0,10,10+,10,1,1,7,2,Y,80,1,1150,-0.811386302
246,No,25-30,29,1_Medical,1,Medical,Rarely,1,Laboratory Technician,Research & Development,3,0,3,2532,14,6054,1086,62,7,2.6,1,2,4,3,3,5,Female,Divorced,1,6,4,8,3-5,4,0,0,3,3,Y,80,1,912,-0.808713831
247,No,30-35,31,4_Medical,4,Medical,Rarely,3,Manufacturing Director,Research & Development,0,1,3,7143,14,25713,1232,39,7,3,3,3,4,3,2,2,Female,Single,0,1,0,11,10+,11,0,4,9,10,Y,80,1,462,-0.802455043
248,No,30-35,32,4_Medical,4,Medical,Rarely,1,Sales Representative,Sales,1,0,3,2269,14,18024,234,68,1,2.2,2,2,2,2,3,2,Male,Married,1,0,1,3,1-3,2,1,2,2,2,Y,80,1,2013,-0.801953617
249,No,40-45,41,3_Life Sciences,3,Life Sciences,Frequently,2,Research Scientist,Research & Development,2,1,3,5467,14,13953,1200,75,22,2.8,4,3,4,1,2,4,Female,Divorced,1,3,6,12,5-8,6,1,3,2,3,Y,80,1,1392,-0.792576981
250,No,40-45,41,5_Life Sciences,5,Life Sciences,Rarely,4,Manager,Sales,1,0,3,16595,16,5626,1276,91,2,2.2,2,3,1,2,3,2,Female,Married,1,7,4,22,10+,18,0,11,16,8,Y,80,1,625,-0.791967457
251,No,30-35,33,2_Medical,2,Medical,0ne,1,Laboratory Technician,Research & Development,3,0,3,2008,12,20439,1313,59,1,2.4,2,2,3,3,2,2,Male,Divorced,0,1,0,1,1-3,1,0,0,1,0,Y,80,1,1994,-0.790495655
252,No,35-40,36,4_Technical Degree,4,Technical Degree,0ne,2,Sales Executive,Sales,2,0,3,5079,13,25952,1229,84,8,3,1,3,4,4,3,3,Male,Divorced,1,4,5,12,5-8,7,0,0,7,7,Y,80,1,990,-0.777064299
253,No,45-50,45,3_Life Sciences,3,Life Sciences,Rarely,1,Research Scientist,Research & Development,0,0,3,2274,14,6153,252,95,2,2.8,2,2,3,4,3,3,Female,Single,0,1,0,1,1-3,1,0,0,0,0,Y,80,1,834,-0.775841656
254,Yes,30-35,31,5_Human Resources,5,Human Resources,Rarely,1,Human Resources,Human Resources,0,0,3,2956,17,21495,359,89,18,3,4,4,1,3,3,4,Male,Married,1,0,1,2,1-3,1,0,0,0,0,Y,80,1,1842,-0.773264524
255,No,40-45,40,1_Medical,1,Medical,0ne,3,Research Director,Research & Development,1,0,3,13757,11,25178,218,55,8,2.8,4,2,2,3,3,5,Male,Divorced,1,2,7,16,8-10,9,0,4,8,8,Y,80,1,1468,-0.767292092
256,No,40-45,43,3_Life Sciences,3,Life Sciences,0ne,1,Research Scientist,Research & Development,0,0,3,2438,13,24978,343,52,9,2.4,1,3,3,3,2,2,Male,Single,1,4,4,7,3-5,3,1,1,2,2,Y,80,1,1813,-0.764941704
257,No,30-35,31,3_Marketing,3,Marketing,Frequently,1,Sales Representative,Sales,1,0,3,2789,11,3909,444,84,5,2.8,4,3,2,3,2,5,Female,Divorced,0,1,0,2,1-3,2,1,2,2,2,Y,80,1,399,-0.754138455
258,No,30-35,30,4_Marketing,4,Marketing,Rarely,2,Sales Executive,Sales,2,0,3,4779,14,12761,855,73,7,2.6,4,3,1,2,3,3,Female,Divorced,1,7,5,8,3-5,3,0,0,2,2,Y,80,1,1428,-0.753803938
259,No,30-35,34,3_Life Sciences,3,Life Sciences,Rarely,3,Sales Executive,Sales,3,1,3,9713,13,24444,1480,64,4,3.4,3,3,4,4,3,3,Male,Married,1,2,4,9,5-8,5,1,1,3,0,Y,80,1,1882,-0.751033385
260,No,25-30,25,1_Other,1,Other,Rarely,1,Laboratory Technician,Research & Development,1,1,3,3977,19,7298,977,57,2,3,4,3,3,3,2,2,Male,Divorced,1,6,5,7,1-3,2,0,0,2,2,Y,80,1,1992,-0.749002423
261,Yes,30-35,31,3_Life Sciences,3,Life Sciences,Frequently,1,Sales Representative,Sales,0,0,3,2785,14,11882,703,90,2,3.2,3,2,4,3,4,3,Female,Single,1,7,2,3,1-3,1,0,0,0,0,Y,80,1,1379,-0.748770056
262,Yes,25-30,29,4_Technical Degree,4,Technical Degree,Rarely,1,Research Scientist,Research & Development,0,0,3,2362,13,7568,224,100,1,1.6,1,2,1,3,1,2,Male,Single,1,6,2,11,8-10,9,0,0,7,7,Y,80,1,1522,-0.748004176
263,Yes,30-35,33,3_Medical,3,Medical,Rarely,1,Laboratory Technician,Research & Development,1,1,3,2436,13,22149,813,58,14,2.8,3,3,4,3,1,2,Male,Married,1,5,3,8,5-8,5,0,0,4,4,Y,80,1,325,-0.747791329
264,No,25-30,29,3_Technical Degree,3,Technical Degree,Frequently,1,Sales Representative,Sales,1,0,3,2157,15,18203,1404,84,20,3,3,3,4,2,3,5,Female,Married,0,1,0,3,3-5,3,0,0,1,2,Y,80,1,974,-0.746235072
265,No,<25,24,1_Life Sciences,1,Life Sciences,Rarely,1,Laboratory Technician,Research & Development,1,0,3,2774,12,13257,1127,52,18,2.8,2,3,3,3,3,2,Male,Married,1,0,1,6,5-8,5,1,1,3,2,Y,80,1,150,-0.74609327
266,No,35-40,35,3_Medical,3,Medical,Rarely,1,Laboratory Technician,Research & Development,1,0,3,2426,13,16479,809,84,16,2.6,1,4,2,3,3,5,Male,Married,1,0,1,6,5-8,5,0,0,4,3,Y,80,1,14,-0.743548258
267,No,30-35,34,3_Medical,3,Medical,Frequently,4,Research Director,Research & Development,2,0,3,17007,14,11929,829,71,15,2.4,2,3,1,4,2,3,Male,Divorced,1,7,2,16,10+,14,0,6,8,9,Y,80,1,1485,-0.740805695
268,Yes,30-35,32,4_Life Sciences,4,Life Sciences,Rarely,1,Laboratory Technician,Research & Development,0,0,3,1393,12,24852,1259,95,2,2.6,4,3,2,1,3,2,Male,Single,0,1,0,1,1-3,1,0,0,0,0,Y,80,1,1692,-0.740544216
269,No,30-35,33,2_Life Sciences,2,Life Sciences,Frequently,2,Healthcare Representative,Research & Development,3,0,4,5968,20,18079,1303,36,7,3.2,4,3,3,3,3,2,Male,Divorced,0,1,0,9,8-10,9,1,2,7,8,Y,80,1,1970,-0.738863653
270,No,30-35,30,3_Other,3,Other,Rarely,2,Manufacturing Director,Research & Development,1,0,3,9957,15,9096,1176,85,20,2.4,3,3,1,3,2,1,Male,Married,1,0,1,7,5-8,6,0,0,2,2,Y,80,1,1084,-0.734657204
271,No,45-50,45,4_Life Sciences,4,Life Sciences,0ne,2,Sales Executive,Sales,2,0,4,5154,22,19665,589,67,2,3,3,3,3,2,4,3,Female,Married,1,4,2,10,8-10,8,0,5,7,7,Y,80,1,1845,-0.732505926
272,No,30-35,34,3_Life Sciences,3,Life Sciences,Rarely,2,Research Scientist,Research & Development,1,0,3,5433,12,19332,1130,66,3,3,4,3,2,3,3,2,Female,Divorced,0,1,0,11,10+,11,0,7,8,9,Y,80,1,1658,-0.730960651
273,No,25-30,27,1_Medical,1,Medical,Rarely,2,Sales Representative,Sales,1,0,4,3540,21,7018,728,36,23,2.8,2,2,3,4,3,5,Female,Married,0,1,0,9,8-10,9,0,5,8,8,Y,80,1,1864,-0.728921387
274,No,35-40,36,4_Marketing,4,Marketing,Rarely,2,Sales Executive,Sales,2,0,3,5647,13,13494,329,98,16,1.8,3,2,1,1,2,3,Female,Married,1,4,8,11,3-5,3,0,0,2,2,Y,80,1,1436,-0.726072034
275,No,50+,55,4_Medical,4,Medical,Rarely,5,Research Director,Research & Development,0,0,3,18722,11,13339,692,61,14,3.2,3,4,2,4,3,3,Male,Single,1,8,12,36,10+,24,1,2,15,15,Y,80,1,254,-0.722396933
276,No,50+,56,4_Technical Degree,4,Technical Degree,Rarely,5,Manager,Research & Development,1,0,3,19943,13,18575,718,92,4,3,4,3,1,4,3,2,Female,Divorced,1,4,23,28,5-8,5,0,4,2,2,Y,80,1,1191,-0.722300623
277,No,<25,22,3_Medical,3,Medical,Rarely,1,Research Scientist,Research & Development,1,0,3,2244,13,24440,253,43,11,2.6,1,3,2,4,3,1,Female,Married,0,1,0,2,1-3,2,1,1,1,2,Y,80,1,511,-0.72124976
278,No,40-45,43,4_Life Sciences,4,Life Sciences,Frequently,1,Laboratory Technician,Research & Development,0,0,3,2455,19,10675,185,33,10,2.8,3,3,4,1,3,5,Female,Single,1,0,1,9,8-10,8,1,1,7,7,Y,80,1,430,-0.720216933
279,Yes,25-30,25,3_Marketing,3,Marketing,Rarely,2,Sales Executive,Sales,0,1,3,5744,11,26959,240,46,5,3,3,2,3,4,3,1,Male,Single,0,1,0,6,5-8,6,0,0,4,3,Y,80,1,142,-0.718718365
280,No,50+,55,4_Life Sciences,4,Life Sciences,Rarely,2,Healthcare Representative,Research & Development,0,1,3,4035,16,16143,1229,30,4,3,4,3,3,2,3,2,Male,Married,1,0,1,4,3-5,3,1,1,2,2,Y,80,1,1501,-0.716465202
281,No,40-45,43,3_Medical,3,Medical,Rarely,2,Sales Executive,Sales,1,1,3,7847,17,6069,1179,73,2,3,4,3,4,1,3,3,Male,Married,0,1,0,10,10+,10,0,8,9,8,Y,80,1,1706,-0.714241845
282,No,40-45,41,3_Medical,3,Medical,Rarely,1,Laboratory Technician,Research & Development,0,1,3,4721,13,3119,263,59,6,2.8,4,3,1,3,3,3,Male,Single,1,2,2,20,10+,18,1,2,13,17,Y,80,1,957,-0.711197803
283,No,40-45,40,3_Life Sciences,3,Life Sciences,Rarely,2,Healthcare Representative,Research & Development,1,0,3,6513,17,9060,1194,52,1,3.4,3,3,4,4,3,3,Female,Divorced,1,4,7,12,5-8,5,0,0,3,3,Y,80,1,1822,-0.70839884
284,No,30-35,31,3_Marketing,3,Marketing,Rarely,2,Sales Executive,Sales,3,0,3,7547,12,7143,691,73,7,3.6,4,3,4,4,3,3,Male,Divorced,1,4,6,13,5-8,7,1,1,7,7,Y,80,1,438,-0.707873267
285,No,35-40,38,3_Human Resources,3,Human Resources,Rarely,1,Human Resources,Human Resources,1,0,3,2844,13,6004,433,37,1,3.6,3,4,3,4,4,2,Male,Married,0,1,0,7,5-8,7,0,5,6,0,Y,80,1,1152,-0.707796252
286,No,30-35,33,4_Life Sciences,4,Life Sciences,Rarely,2,Laboratory Technician,Research & Development,1,1,3,5207,12,22949,589,79,28,2.6,2,3,3,2,3,3,Male,Married,0,1,0,15,10+,15,0,5,14,7,Y,80,1,1549,-0.707060405
287,Yes,<25,22,1_Life Sciences,1,Life Sciences,Rarely,1,Research Scientist,Research & Development,0,1,4,2472,23,26092,391,75,7,2.6,4,3,2,1,3,2,Male,Single,0,1,0,1,1-3,1,0,0,0,0,Y,80,1,1878,-0.704129953
288,No,30-35,34,2_Medical,2,Medical,Rarely,1,Laboratory Technician,Research & Development,1,0,3,2661,11,8758,1346,93,19,3,2,3,4,3,3,2,Male,Divorced,1,0,1,3,1-3,2,1,1,2,2,Y,80,1,18,-0.703450213
289,No,35-40,36,2_Technical Degree,2,Technical Degree,Frequently,3,Sales Executive,Sales,1,0,3,9738,14,22952,1467,92,11,3,2,3,4,3,3,6,Female,Married,1,0,1,10,8-10,9,1,2,7,8,Y,80,1,154,-0.700501054
290,No,35-40,35,4_Life Sciences,4,Life Sciences,Rarely,1,Sales Representative,Sales,1,0,3,2572,16,20317,384,72,8,2.4,1,3,4,2,2,1,Female,Married,0,1,0,3,3-5,3,0,0,2,2,Y,80,1,805,-0.698848336
291,No,45-50,45,4_Medical,4,Medical,Rarely,1,Laboratory Technician,Research & Development,2,0,3,2270,14,11005,974,91,1,3.6,4,3,4,4,3,2,Female,Divorced,1,3,3,8,5-8,5,0,0,3,2,Y,80,1,996,-0.697507451
292,No,35-40,36,4_Life Sciences,4,Life Sciences,0ne,2,Laboratory Technician,Research & Development,1,0,3,5674,15,6927,1105,47,24,2.6,2,3,2,3,3,3,Female,Married,1,7,2,11,8-10,9,0,0,8,8,Y,80,1,419,-0.695840151
293,No,25-30,27,3_Medical,3,Medical,Rarely,1,Research Scientist,Research & Development,0,0,3,2279,16,11781,894,99,9,3,4,3,2,4,2,2,Female,Single,0,1,0,7,5-8,7,0,0,7,3,Y,80,1,260,-0.69578244
294,No,45-50,47,1_Medical,1,Medical,0ne,3,Research Director,Research & Development,2,0,3,11957,18,17231,1162,98,1,2,3,3,2,1,1,3,Female,Married,1,0,1,14,10+,13,0,5,8,12,Y,80,1,2000,-0.69552576
295,No,40-45,40,2_Medical,2,Medical,Rarely,4,Manager,Human Resources,0,1,4,16437,21,17381,898,38,6,3.4,3,3,4,4,3,2,Male,Single,0,1,0,21,10+,21,0,7,7,7,Y,80,1,1550,-0.691161252
296,No,35-40,35,4_Medical,4,Medical,Rarely,1,Laboratory Technician,Research & Development,1,1,3,2660,11,20232,1490,43,11,3.2,4,3,3,3,3,3,Male,Married,1,7,3,5,1-3,2,1,2,2,2,Y,80,1,2003,-0.690335357
297,No,30-35,34,1_Life Sciences,1,Life Sciences,Frequently,2,Manufacturing Director,Research & Development,0,0,3,9547,17,14074,1069,45,2,2.8,4,2,3,3,2,2,Male,Married,0,1,0,10,10+,10,1,1,9,9,Y,80,1,256,-0.688660529
298,Yes,30-35,34,3_Life Sciences,3,Life Sciences,Frequently,2,Laboratory Technician,Research & Development,0,1,4,6074,24,22887,658,66,7,2.4,1,1,3,4,3,3,Male,Single,0,1,0,9,8-10,9,0,0,7,6,Y,80,1,147,-0.684639088
299,Yes,30-35,31,2_Medical,2,Medical,0ne,1,Research Scientist,Research & Development,0,1,4,2321,22,10322,335,46,9,2,3,2,1,1,3,0,Male,Single,1,0,1,4,3-5,3,1,1,2,2,Y,80,1,991,-0.683742581
300,Yes,25-30,28,4_Medical,4,Medical,Rarely,1,Research Scientist,Research & Development,0,1,3,3464,13,24737,1157,84,2,2.4,1,1,4,4,2,4,Male,Married,1,5,2,5,3-5,3,1,2,2,2,Y,80,1,440,-0.682637177
301,No,30-35,32,2_Life Sciences,2,Life Sciences,Frequently,2,Sales Executive,Sales,1,0,3,6524,14,8891,379,48,5,2.8,2,3,2,4,3,3,Male,Married,0,1,0,10,10+,10,0,5,8,3,Y,80,1,889,-0.675446951
302,No,35-40,35,5_Life Sciences,5,Life Sciences,Frequently,3,Sales Executive,Sales,1,0,4,9069,22,11031,853,71,18,2.4,2,3,1,4,2,3,Male,Married,0,1,0,9,8-10,9,1,1,8,8,Y,80,1,74,-0.669882727
303,No,50+,55,3_Technical Degree,3,Technical Degree,Rarely,1,Research Scientist,Research & Development,1,0,3,3537,12,23737,1441,94,22,2.4,1,2,2,4,3,1,Male,Divorced,1,5,4,8,3-5,4,1,1,2,2,Y,80,1,1694,-0.669080619
304,No,35-40,35,4_Medical,4,Medical,Rarely,2,Research Scientist,Research & Development,0,0,3,5098,19,18698,1395,48,9,2.6,2,3,3,2,3,5,Male,Single,0,1,0,10,10+,10,0,0,7,8,Y,80,1,2008,-0.668997501
305,Yes,50+,58,3_Technical Degree,3,Technical Degree,Rarely,1,Research Scientist,Research & Development,0,0,4,2479,24,26227,289,51,2,2.8,4,3,3,1,3,4,Male,Single,1,4,6,7,1-3,1,0,0,0,0,Y,80,1,977,-0.666623491
306,No,<25,24,1_Life Sciences,1,Life Sciences,0ne,1,Laboratory Technician,Research & Development,0,0,3,3162,17,10778,1269,46,4,2.6,1,2,4,4,2,2,Male,Married,1,0,1,6,5-8,5,1,3,2,4,Y,80,1,888,-0.661191683
307,No,50+,50,3_Life Sciences,3,Life Sciences,Rarely,1,Laboratory Technician,Research & Development,0,0,3,2380,18,20165,804,64,9,2.6,1,3,4,2,3,5,Male,Married,1,4,7,8,1-3,1,0,0,0,0,Y,80,1,1030,-0.660386726
308,No,30-35,34,4_Life Sciences,4,Life Sciences,0ne,1,Research Scientist,Research & Development,3,0,3,2979,17,22478,697,40,3,3.2,3,2,4,4,3,2,Male,Married,1,3,6,6,0-1,0,0,0,0,0,Y,80,1,1115,-0.660204861
309,No,50+,55,4_Medical,4,Medical,Frequently,2,Healthcare Representative,Research & Development,2,1,3,6385,14,12992,135,62,18,3,3,3,2,4,3,3,Male,Married,1,3,9,17,8-10,8,0,6,7,7,Y,80,1,1034,-0.659693229
310,No,25-30,25,3_Life Sciences,3,Life Sciences,Rarely,2,Sales Executive,Sales,1,0,4,4851,22,15678,810,57,8,3.2,4,4,2,3,3,4,Male,Married,1,0,1,4,3-5,3,1,1,2,2,Y,80,1,707,-0.656799735
311,No,30-35,34,4_Life Sciences,4,Life Sciences,Rarely,2,Research Scientist,Research & Development,1,0,3,5484,17,13008,1351,45,1,2.6,2,3,4,2,2,3,Male,Married,1,9,7,9,1-3,2,1,2,2,1,Y,80,1,1580,-0.655061578
312,No,40-45,40,3_Life Sciences,3,Life Sciences,Rarely,4,Manufacturing Director,Research & Development,0,0,3,13237,15,20364,302,75,6,2.8,2,3,3,3,3,3,Female,Single,1,7,2,22,10+,20,0,5,6,13,Y,80,1,601,-0.65282598
313,Yes,30-35,31,3_Life Sciences,3,Life Sciences,Frequently,1,Research Scientist,Research & Development,0,0,3,4084,12,4156,561,33,3,2.4,4,3,3,1,1,2,Female,Single,0,1,0,7,5-8,7,0,7,2,7,Y,80,1,1537,-0.643842063
314,No,50+,51,4_Medical,4,Medical,Rarely,2,Manufacturing Director,Research & Development,0,0,3,6132,17,13983,1169,34,7,2.6,2,2,3,3,3,2,Male,Married,1,2,9,10,1-3,1,0,0,0,0,Y,80,1,211,-0.642367602
315,No,50+,60,4_Marketing,4,Marketing,Rarely,2,Sales Executive,Sales,0,0,3,5405,14,11924,1179,84,16,2.4,1,3,1,4,3,1,Male,Single,1,8,8,10,1-3,2,1,2,2,2,Y,80,1,732,-0.635143199
316,No,45-50,47,2_Life Sciences,2,Life Sciences,Rarely,2,Sales Executive,Sales,0,1,3,4163,17,8571,955,83,4,3.4,4,3,4,3,3,0,Female,Single,0,1,0,9,8-10,9,0,0,0,7,Y,80,1,1003,-0.634106867
317,No,30-35,34,4_Marketing,4,Marketing,Frequently,1,Sales Representative,Sales,1,0,3,2231,18,11314,303,75,2,3.2,3,3,3,4,3,3,Female,Married,1,6,2,6,3-5,4,1,1,3,2,Y,80,1,216,-0.63387591
318,No,<25,24,2_Life Sciences,2,Life Sciences,Rarely,2,Healthcare Representative,Research & Development,0,0,3,4617,12,14120,771,45,1,2.2,2,2,3,2,2,2,Male,Single,0,1,0,4,3-5,4,1,1,3,2,Y,80,1,1981,-0.630261898
319,No,35-40,39,4_Life Sciences,4,Life Sciences,Rarely,2,Sales Executive,Sales,2,1,3,6120,12,3567,1498,44,21,3,1,2,4,4,4,2,Male,Married,1,3,3,8,5-8,5,1,1,4,4,Y,80,1,1390,-0.620628915
320,No,<25,19,3_Life Sciences,3,Life Sciences,Rarely,1,Research Scientist,Research & Development,0,1,3,2994,12,21221,265,57,25,3.4,2,4,4,4,3,2,Female,Single,0,1,0,1,1-3,1,0,0,0,1,Y,80,1,1269,-0.619246823
321,No,30-35,32,3_Life Sciences,3,Life Sciences,0ne,1,Laboratory Technician,Research & Development,0,0,4,2332,20,3974,1184,70,1,2.6,3,2,2,3,3,3,Female,Married,1,6,2,5,3-5,3,0,0,0,2,Y,80,1,951,-0.618017043
322,No,30-35,34,5_Life Sciences,5,Life Sciences,Rarely,1,Research Scientist,Research & Development,1,0,3,2691,12,7660,1397,42,1,3,2,3,4,4,2,4,Male,Married,0,1,0,10,10+,10,0,8,9,8,Y,80,1,683,-0.617087546
